0	1
0	2
0	3
0	4
0	5
1	0
1	2
1	4
1	5
1	15
2	0
2	11
2	12
2	13
2	14
3	63
3	64
3	65
3	66
3	67
4	7
4	16
4	17
4	18
4	19
5	6
5	7
5	8
5	9
5	10
6	5
6	7
6	8
6	9
6	20
7	5
7	8
7	9
7	30
7	290
8	13
8	21
8	22
8	23
8	24
10	5
10	7
10	137
10	138
10	139
11	6
11	9
11	20
11	25
11	26
12	260
12	261
12	262
12	263
12	264
13	20
13	21
13	23
13	140
13	141
14	13
14	21
14	27
14	28
14	29
15	68
15	69
15	70
15	71
15	72
16	4
16	7
16	19
16	73
16	75
17	6
17	7
17	8
17	30
17	31
18	32
18	33
18	34
18	35
18	36
19	4
19	16
19	73
19	74
19	75
20	6
20	7
20	8
20	23
20	30
21	13
21	23
21	28
21	77
21	164
22	8
22	23
22	37
22	38
22	39
23	8
23	13
23	20
23	111
23	142
24	40
24	41
24	42
24	43
24	44
25	11
25	45
25	46
25	47
26	11
26	265
26	266
26	267
26	268
27	13
27	21
27	76
27	77
27	78
